Comment,Designator,Footprint,JLCPCB Part #,
"C1,C10",1uF,0402,C52923,
"C2,C3",0.1uF,0402,C307331,
"C11,C12,C17,C4,C5,C6,C7,C8,C9",0.1uF,0402,C307331,
C13,10uF,0603,C96446,
C14,10uF,0402,C15525,
"C15,C16",33pF,0402,C1562,
C18,1nF,0402,C1523,
C19,10nF,0402,C15195,
C20,33nF,0402,C106862,
"C21,C22",22pF,0402,C1555,
C23,2.2nF,0402,C1531,
C24,4.7pF,0402,C1569,
C25,1.5pF,0402,C1552,
C26,1.0pF,0402,C1550,
"D1,DRGB1",LED,0603,C2286,
D3,1N4148WS,SOD-323,C2128,
J1,USB_C_Receptacle_USB2.0_14P,SMD,C165948,
L1,2.7nH,0402,C77108,
L2,8.2nH,0402,C76778,
L3,3.9nH,0402,C76775,
"R1,R2",5.1k,0402,C25905,
"R3,R4",27,0402,C25105,
"R5,R6",1k,0402,C11702,
R7,10K,0402,C25744,
R8,22k,0402,C25768,
R9,1M,0402,C26083,
"R10,R11",220,0402,C25082,
SW1,SW_Push,"SMD,4x3mm",C720477,
U2,RP2040,LQFN-56(7x7),C2040,
U3,W25Q128JVS,USON-8-EP(2x3),C2843335,
U4,nRF24L01P,QFN-20-EP(4x4),C8791,
U5,AMS1117-3.3,SOT-89,C347256,
Y1,12MHz,SMD3225-4P,C9002,
Y2,16MHz,SMD3225-4P,C13738,
